data_origin,calendar_year,fiscal_year,months,month,_month,date,quarter,initial_intake,initial_approval,initial_cumulative,renewal_intake,renewal_approval
blalba,2018,2018,Jan-Mar,Mar,3,1/1/2012,Q2,,,0,,
uscis,2012,2012,Jul-Sep,Sep,9,9/1/2012,Q4,146450,1707,1707,0,0
uscis,2012,2013,Oct-Dec,Dec,12,12/1/2012,Q1,221453,101258,102965,0,0
uscis,2013,2013,Jan-Mar,Mar,3,3/1/2013,Q2,78779,119566,222531,0,0
uscis,2013,2013,Apr-Jun,Jun,6,6/1/2013,Q3,68477,132066,354597,0,0
uscis,2013,2013,Jul-Sep,Sep,9,9/1/2013,Q4,44349,73717,428314,0,0
uscis,2013,2014,Oct-Dec,Dec,12,12/1/2013,Q1,36751,47642,475956,0,0
uscis,2014,2014,Jan-Mar,Mar,3,3/1/2014,Q2,34911,31490,507446,0,0
uscis,2014,2014,Apr-Jun,Jun,6,6/1/2014,Q3,38378,27642,535088,10587,87
uscis,2014,2014,Jul-Sep,Sep,9,9/1/2014,Q4,32819,29120,564208,105989,22393
uscis,2014,2015,Oct-Dec,Dec,12,12/1/2014,Q1,26983,30122,594330,125436,125690
uscis,2015,2015,Jan-Mar,Mar,3,3/1/2015,Q2,24210,25814,620144,133377,95729
uscis,2015,2015,Apr-Jun,Jun,6,6/1/2015,Q3,23742,17892,638036,85407,135007
uscis,2015,2015,Jul-Sep,Sep,9,9/1/2015,Q4,18140,19074,657110,46880,66175
uscis,2015,2016,Oct-Dec,Dec,12,12/1/2015,Q1,17240,13497,670607,30922,42317
uscis,2016,2016,Jan-Mar,Mar,3,3/1/2016,Q2,14730,13540,684147,29740,25991
uscis,2016,2016,Apr-Jun,Jun,6,6/1/2016,Q3,20796,13332,697479,65369,15313
uscis,2016,2016,Jul-Sep,Sep,9,9/1/2016,Q4,15864,12616,710095,64285,62302
uscis,2016,2017,Oct-Dec,Dec,12,12/1/2016,Q1,15207,18429,728524,99120,103792
uscis,2017,2017,Jan-Mar,Mar,3,3/1/2017,Q2,10368,17275,745799,141682,107524
uscis,2017,2017,Apr-Jun,Jun,6,9/1/2017,Q3,10809,5860,751659,92343,96708
projection,2017,2017,Jul-Sep,Sep,9,9/1/2017,Q4,,,751659,,
projection,2017,2018,Oct-Dec,Dec,12,3/1/2018,Q1,,,751659,,
projection,2018,2018,Jan-Mar,Mar,3,3/1/2018,Q2,,,0,,
blalba,2018,2018,Jan-Mar,Mar,3,3/1/2019,Q2,,,0,,
